yacimiento;refMLH;refHesperia;texto;municipio;provincia;material;soporte;direccion_escritura;tecnica;signario;sistema_dual;separadores;datacion
Ilerda;D.;L.08.02;bin++[---];Lleida;Lleida;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Primera mitad del s. I a.C.
Empúries;C.01.01;GI.10.03;------ [---]+++ke[---] [---]inti · tan+[---] [---]+ke · koŕnel+[---] [---]ite · ika+[---] [---] · s[---] ------;L'Escala;Girona;PIEDRA;LAPIDA;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;rombos;Simón Cornago (2013, 157): siglo I a.C. Rodríguez Ramos (2004, 207): 200 - 50 a.C.
Empúries;C.01.02;GI.10.04;------ [---]tineoś[---] [---]+tikirsakaŕ [---]++i[---]r ------;L'Escala;Girona;PIEDRA;LAPIDA;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo I a.C.
Empúries;C.01.03;GI.10.05;------ [---]+[---] [---]ko:ne[---] [---]+rśar[---] [---]s:[---] ------;L'Escala;Girona;PIEDRA;LAPIDA;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;un punto;Siglo I a.C.
El Turó dels Oriols;C.07.17.S1;B.44.15;ata;Cabrera de Mar;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Mediados s. II - mediados s. I a.C.
Les Soleies;C.38.01.S1;B.15.02;beịḳạṇkine;Collbató;Barcelona;CERAMICA;Ánfora;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Desconocida.
El Castell de Cornellà;C.37.01.S1;B.39.01;a) iunia b) bo;Cornellà;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;;Siglos II - I a.C., puede que algo posterior
El Mas Castellar;C.03.07.S1;GI.08.13;ọli (vac) ti;Pontós;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;Incisión ante coctionem;LEVANTINO;NO DUAL;CARECE;Último cuarto del s. III a.C.
Jardí Park;C.30.05.S1;B.43.05;lauŕko;Premià de Dalt;Barcelona;CERAMICA;Dolium;DEXTROGIRA;IMPRESO;LEVANTINO;NO DUAL;CARECE;Siglo I a. C.
La Cadira del Bisbe;C.30.02.S1;B.43.02;[---]teḿr;Premià de Dalt;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo V - II a.C.
Els Guíxols;C.39.01.S1;GI.19.01;bil;Sant Feliu de Guíxols;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;;Finales s. II - comienzos s. I a.C.
Can Feu;C.40.01.S1;B.18.01;[bakaś]utaŕte;Sant Quirze del Vallès;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;IMPRESO;LEVANTINO;NO DUAL;CARECE;Primer cuarto del s. I a.C.
Masmolets;C.18.11.S1;T.03.01;nio;Valls;Tarragona;CERAMICA;Ánfora;DEXTROGIRA;IMPRESO;LEVANTINO;NO DUAL;CARECE;Finales s. I a C o principios s. I a C.
El Camp de les Lloses;D.01.02.S1;B.04.01;beŕbaiekinetiḿi;Tona;Barcelona;PLOMO;TESERA;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Último tercio del s. II - comienzos s. I a.C.
Empúries;C.01.04;GI.10.06;------ [---]ta+ltanki[---] [---]lakiniki[---];L'Escala;Girona;PIEDRA;LAPIDA;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo I a.C.
Empúries;C.01.05;GI.10.10;lakeŕeiar:tuŕ+ baisebilos:beleśta banar:oŕ+[---]++ enatilar;L'Escala;Girona;PLOMO;LAMINA/PLANCHA;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;UN PUNTO;Mediados s. II - mediados s. I a.C.
Empúries;C.01.06 = EMP II;GI.10.12;A): naḻḇe̱sosin lakun uralaśg̱a̱ŕ agaśdigeŕ sigen+++ aŕ̲dakalebalgeaŕ++ +dalon B): sikeunin ilagodinebaṯa̱n abaṯu̱lḵa̱ṯu̱ŕabanui;L'Escala;Girona;PLOMO;LAMINA/PLANCHA;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Finales s. III - comienzos s. II a.C.
